exchange,symbol,fundingTime,fundingRate,fundingRatePct,demo,normalized
binance,ETHUSDT,1579075200000,0.00020223,0.020222999999999998,True,True
binance,BTCUSDT,1579104000000,0.00010000,0.01,True,True
binance,ETHUSDT,1579104000000,0.00031864,0.031864,True,True
binance,BTCUSDT,1579132800000,0.00010000,0.01,True,True
binance,ETHUSDT,1579132800000,0.00017165,0.017165,True,True
binance,BTCUSDT,1579161600000,0.00041191,0.041191,True,True
binance,ETHUSDT,1579161600000,0.00038406,0.038405999999999996,True,True
binance,BTCUSDT,1579190400000,0.00031466,0.031466,True,True
binance,ETHUSDT,1579190400000,0.00042240,0.04224,True,True
binance,BTCUSDT,1579219200000,0.00010000,0.01,True,True
binance,ETHUSDT,1579219200000,0.00018772,0.018772,True,True
binance,BTCUSDT,1579248000000,0.00015027,0.015027,True,True
binance,ETHUSDT,1579248000000,0.00010000,0.01,True,True
binance,BTCUSDT,1579276800000,0.00056749,0.056749,True,True
binance,ETHUSDT,1579276800000,0.00020327,0.020327,True,True
binance,BTCUSDT,1579305600001,0.00010000,0.01,True,True
binance,ETHUSDT,1579305600001,0.00010000,0.01,True,True
binance,BTCUSDT,1579334400001,0.00029182,0.029182,True,True
binance,ETHUSDT,1579334400001,0.00010000,0.01,True,True
binance,BTCUSDT,1579363200000,0.00032081,0.032081,True,True
binance,ETHUSDT,1579363200000,0.00011014,0.011014,True,True
binance,BTCUSDT,1579392000000,0.00020041,0.020041,True,True
binance,ETHUSDT,1579392000000,0.00044662,0.044662,True,True
binance,BTCUSDT,1579420800000,0.00039329,0.039329,True,True
binance,ETHUSDT,1579420800000,0.00019851,0.019851,True,True
binance,BTCUSDT,1579449600000,0.00092467,0.09246700000000001,True,True
binance,ETHUSDT,1579449600000,0.00023852,0.023852,True,True
binance,BTCUSDT,1579478400000,0.00029702,0.029702,True,True
binance,ETHUSDT,1579478400000,0.00047503,0.047503,True,True
binance,BTCUSDT,1579507200000,0.00010000,0.01,True,True
binance,ETHUSDT,1579507200000,0.00054081,0.054081,True,True
binance,BTCUSDT,1579536000000,0.00010782,0.010782,True,True
binance,ETHUSDT,1579536000000,0.00038562,0.038562,True,True
binance,BTCUSDT,1579564800000,0.00012057,0.012057,True,True
binance,ETHUSDT,1579564800000,0.00021637,0.021637,True,True
